3,1652541
5,2768501
3,7587032
3,9609622
7,11265142
5,12321952
3,14157134
4,14247236
3,14260960
3,14281853
3,14499829
4,14699520
3,14704278
3,14707794
10,15021381
3,15022885
3,15423737
4,15480566
8,15801906
6,15832195
83,16050065
3,16378486
4,16582131
3,16832632
15,17477864
3,17829133
8,17919393
5,18004222
112,18831926
10,19080151
4,19084896
3,19386622
5,19500405
3,19536434
4,19604599
12,19739126
3,20052899
3,20559705
3,20995648
4,21489341
11,21525682
4,22187085
4,22317663
6,23477240
15,25049056
3,25342745
3,25387843
9,26217297
5,26550418
3,27493883
30,29447428
7,29979814
5,30844417
6,32871086
4,34116377
3,34247411
3,34262462
4,35157660
3,35787166
4,36065127
3,38978291
3,41438148
16,42836999
3,43976957
6,45379403
3,45970216
10,48624704
3,49698134
3,51547100
3,53963427
11,56698179
7,56768709
10,58413196
3,58974496
4,62306952
4,63942152
4,65357102
5,66401056
7,66917778
3,67805368
6,76780096
4,76842602
3,77853610
3,78553276
6,80571323
7,86626845
4,86970530
4,89243448
5,92932981
3,93880122
10,95091601
5,98429846
5,110899711
3,115563859
29,117810351
6,118459189
3,130120037
5,131935861
5,139109800
34,140496030
3,143427448
6,145369414
8,145499533
3,159021888
5,159955958
4,160094489
14,161505969
5,163018653
3,163922710
5,164380330
9,171699484
32,172323296
4,178580925
6,179732982
6,191100226
3,193042922
3,225779417
7,230621630
5,234694571
15,243413063
3,243983947
4,246939630
3,252608121
5,254515782
3,255369151
4,255812611
10,260059352
6,262219168
12,268385416
3,270921976
3,277587469
3,288277167
3,298015007
3,299273962
9,301352485
3,307755781
3,320822503
5,321072317
4,342863309
3,368240745
13,379052142
107,380648579
3,455024343
3,456636692
8,466400667
6,467726691
8,477934944
4,490002009
4,544732668
9,583821006
3,586291040
4,605153786
5,626470812
3,721190828
5,722242009
5,728273994
6,763010018
3,793331593
4,874916178
7,878284831
4,942156122
3,977204844
3,1010593116
3,1075927117
8,1077181999
4,1080844782
13,1108565574
3,1113341312
3,1247612029
5,1258129712
3,1602913392
3,1618718016
13,1891490382
3,2222450347
4,2227646515
3,2280470022
3,2301844336
6,2314087860
5,2358617670
4,2388075212
3,2411157936
4,2415072836
11,2552935555
4,2608740770
9,2615581908
3,2749315621
8,2809959174
4,2813049204
4,2842740787
3,2871121249
3,2876041031
6,2885493519
14,2926505202
3,3008913119
4,3129968261
3,3131144855
3,3140730672
5,3246790436
6,3255042949
3,3288075858
4,3303457302
3,3383159573
45,3453306553
7,4043106914
3,4118285112
5,4541535439
4,701844034755633157
3,707967655031005186
4,711608180535640064
3,713752653289955329
3,746412932360208384
3,760219193195302912
3,767788995962998784
3,795857631571156992
3,798953701972938752
3,802649176299466752
4,810603440984494080
3,841489249157468161
3,843433646962999296
5,850343119451299841
3,851660614137135104
4,870629200348274688
4,873135988440223745
6,879147821915615233
5,885814222021591041
4,885891622919184384
4,909743718575611905
6,926164634570067968
8,938494109844729856
3,950563187296030721
14,953924228306305024
15,976948534053343233
3,978606266040938496
3,987236107669655552
4,1005846500583321601
6,1007269733316677639
3,1009900083402461185
6,1012201853877186562
3,1031000589054828544
3,1055307732226531328
3,1073606435580325889
37,1094971056358637568
4,1095523459877068800
4,1096205507348623360
3,1098198745810984960
5,1098819491780153345
3,1110389035174948864
4,1117704370630455296
5,1118324398761574401
9,1120633726478823425
6,1126026707771650048
5,1161156626671423488
3,1189799454506799104
3,1218721688738615297
19,1229752606714728454
4,1233660354498088962
6,1236816024281976833
5,1237314642583658496
15,1238370241169616897
6,1238583088998830081
4,1238949674989416449
30,1240682348120866816
4,1243560408025198593
11,1244266306485932034
7,1244661559948787713
11,1252988129708929024
4,1254077828481630208
3,1260515654811242498
8,1268223690480615424
4,1272984661250187266
6,1280478731874848769
7,1290232189615894531
14,1296279134079823872
4,1310293913211744258
3,1312166469891813376
6,1314241954058833926
3,1319916075476262914
3,1330859882040463362
4,1335983975613939712
4,1349395827362590730
3,1350539645872963584
3,1358064335415877635
3,1362805552162701314
14,1387010761994682371
3,1388819128052506627
4,1421835080813666306
3,1422044577079377924
6,1432413874548994052
3,1460176204363972613
10,1462548977367359490
4,1471037967926018051
