hashtag_H   cluster_C_leader(userID)   relative_frequency_H_C  frequency_H_in_C  frequency_H_overall   count_H_in_C   count_hashtags_in_C   count_H_entire_dataset    count_hashtags_entire_dataset
Tuckyorose 1005846500583321601.hashtags   1292.33333333333337608372 .16666666666666666666 .00012896569512509672 1 6 1 7754
Russian 1005846500583321601.hashtags   7.88008130081300812995 .16666666666666666666 .02115037400051586278 1 6 164 7754
Moscow 1005846500583321601.hashtags   64.61666666666666680003 .16666666666666666666 .00257931390250193448 1 6 20 7754
IStandWithUkraine 1005846500583321601.hashtags   76.01960784313725498951 .16666666666666666666 .00219241681712664431 1 6 17 7754
SlavaUkraini 1005846500583321601.hashtags   76.01960784313725498951 .16666666666666666666 .00219241681712664431 1 6 17 7754
BeFierce 1005846500583321601.hashtags   1292.33333333333337608372 .16666666666666666666 .00012896569512509672 1 6 1 7754
USS 1007269733316677639.hashtags   387.70000000000000081572 1.00000000000000000000 .00257931390250193448 6 6 20 7754
USSmess 1007269733316677639.hashtags   861.55555555555556181332 .33333333333333333333 .00038689708537529017 2 6 3 7754
USS 1007269733316677639.hashtags   387.70000000000000081572 1.00000000000000000000 .00257931390250193448 6 6 20 7754
USS 1007269733316677639.hashtags   387.70000000000000081572 1.00000000000000000000 .00257931390250193448 6 6 20 7754
USS 1007269733316677639.hashtags   387.70000000000000081572 1.00000000000000000000 .00257931390250193448 6 6 20 7754
USSmess 1007269733316677639.hashtags   861.55555555555556181332 .33333333333333333333 .00038689708537529017 2 6 3 7754
LongList 1009900083402461185.hashtags   1938.50000000000006420312 .25000000000000000000 .00012896569512509672 1 4 1 7754
fundraisingbc007MEcfs 1009900083402461185.hashtags   1938.50000000000006420312 .25000000000000000000 .00012896569512509672 1 4 1 7754
LongCovid 1009900083402461185.hashtags   24.53797468354430380333 .50000000000000000000 .02037657982976528243 2 4 158 7754
LongCovid 1009900083402461185.hashtags   24.53797468354430380333 .50000000000000000000 .02037657982976528243 2 4 158 7754
Covid19 1010593116.hashtags   103.38666666666666688419 .40000000000000000000 .00386897085375290172 2 5 30 7754
COVIDisAirborne 1010593116.hashtags   46.99393939393939394993 .20000000000000000000 .00425586793912819190 1 5 33 7754
COVID19 1010593116.hashtags   7.60196078431372549058 .20000000000000000000 .02630900180551973175 1 5 204 7754
VotesOverViruses 1010593116.hashtags   1550.80000000000005136249 .20000000000000000000 .00012896569512509672 1 5 1 7754
Covid19 1010593116.hashtags   103.38666666666666688419 .40000000000000000000 .00386897085375290172 2 5 30 7754
Russia 1012201853877186562.hashtags   7.26029962546816479402 .33333333333333333333 .04591178746453443384 5 15 356 7754
Russia 1012201853877186562.hashtags   7.26029962546816479402 .33333333333333333333 .04591178746453443384 5 15 356 7754
Putin 1012201853877186562.hashtags   7.13011494252873563556 .13333333333333333333 .01870002579313902501 2 15 145 7754
Ukraine️ 1012201853877186562.hashtags   32.30833333333333346070 .06666666666666666666 .00206345112200154758 1 15 16 7754
socialism 1012201853877186562.hashtags   86.15555555555555617357 .06666666666666666666 .00077379417075058034 1 15 6 7754
Ukraine 1012201853877186562.hashtags   3.91616161616161616172 .20000000000000000000 .05107041526953830281 3 15 396 7754
Russia 1012201853877186562.hashtags   7.26029962546816479402 .33333333333333333333 .04591178746453443384 5 15 356 7754
NoToWar 1012201853877186562.hashtags   86.15555555555555617357 .06666666666666666666 .00077379417075058034 1 15 6 7754
Russia 1012201853877186562.hashtags   7.26029962546816479402 .33333333333333333333 .04591178746453443384 5 15 356 7754
Ukraine 1012201853877186562.hashtags   3.91616161616161616172 .20000000000000000000 .05107041526953830281 3 15 396 7754
Putin 1012201853877186562.hashtags   7.13011494252873563556 .13333333333333333333 .01870002579313902501 2 15 145 7754
WorldWar3 1012201853877186562.hashtags   516.93333333333335040247 .06666666666666666666 .00012896569512509672 1 15 1 7754
Russia 1012201853877186562.hashtags   7.26029962546816479402 .33333333333333333333 .04591178746453443384 5 15 356 7754
Revolution 1012201853877186562.hashtags   103.38666666666666687385 .06666666666666666666 .00064482847562548362 1 15 5 7754
LeonTrotsky 1012201853877186562.hashtags   516.93333333333335040247 .06666666666666666666 .00012896569512509672 1 15 1 7754
ScottyfromMarketing 1031000589054828544.hashtags   387.70000000000001284062 .10000000000000000000 .00025793139025019344 1 10 2 7754
PutLNPlast 1031000589054828544.hashtags   775.40000000000002568124 .10000000000000000000 .00012896569512509672 1 10 1 7754
AusVotes22 1031000589054828544.hashtags   258.46666666666666854658 .10000000000000000000 .00038689708537529017 1 10 3 7754
Australia 1031000589054828544.hashtags   18.03255813953488373285 .10000000000000000000 .00554552489037915914 1 10 43 7754
VoteThemOut 1031000589054828544.hashtags   193.85000000000000266252 .10000000000000000000 .00051586278050038689 1 10 4 7754
LNPDisgrace 1031000589054828544.hashtags   77.54000000000000016314 .10000000000000000000 .00128965695125096724 1 10 10 7754
SolomonIslands 1031000589054828544.hashtags   775.40000000000002568124 .10000000000000000000 .00012896569512509672 1 10 1 7754
AlboForPM 1031000589054828544.hashtags   17.23111111111111111767 .10000000000000000000 .00580345628062935259 1 10 45 7754
auspol 1031000589054828544.hashtags   4.50813953488372093118 .10000000000000000000 .02218209956151663657 1 10 172 7754
ausvotes 1031000589054828544.hashtags   33.71304347826086965888 .10000000000000000000 .00296621098787722465 1 10 23 7754
LongCovid 1055307732226531328.hashtags   29.44556962025316456400 .60000000000000000000 .02037657982976528243 3 5 158 7754
COVID19 1055307732226531328.hashtags   7.60196078431372549058 .20000000000000000000 .02630900180551973175 1 5 204 7754
Covid_19 1055307732226531328.hashtags   258.46666666666666854658 .20000000000000000000 .00077379417075058034 1 5 6 7754
LongCovid 1055307732226531328.hashtags   29.44556962025316456400 .60000000000000000000 .02037657982976528243 3 5 158 7754
LongCovid 1055307732226531328.hashtags   29.44556962025316456400 .60000000000000000000 .02037657982976528243 3 5 158 7754
BorisJohnsonOut 1073606435580325889.hashtags   775.40000000000002568124 .20000000000000000000 .00025793139025019344 1 5 2 7754
ToriesOut 1073606435580325889.hashtags   155.08000000000000032628 .20000000000000000000 .00128965695125096724 1 5 10 7754
JohnsonOut 1073606435580325889.hashtags   41.35466666666666666816 .40000000000000000000 .00967242713438225432 2 5 75 7754
private 1073606435580325889.hashtags   129.23333333333333343822 .20000000000000000000 .00154758834150116069 1 5 12 7754
depop 1073606435580325889.hashtags   1550.80000000000005136249 .20000000000000000000 .00012896569512509672 1 5 1 7754
LosAngeles 1075927117.hashtags   646.16666666666668804186 .16666666666666666666 .00025793139025019344 1 6 2 7754
TampaBay 1075927117.hashtags   1292.33333333333337608372 .16666666666666666666 .00012896569512509672 1 6 1 7754
FL 1075927117.hashtags   92.30952380952381002109 .16666666666666666666 .00180551973175135413 1 6 14 7754
CobbCounty 1075927117.hashtags   1292.33333333333337608372 .16666666666666666666 .00012896569512509672 1 6 1 7754
MariettaGA 1075927117.hashtags   1292.33333333333337608372 .16666666666666666666 .00012896569512509672 1 6 1 7754
NewYork 1075927117.hashtags   1292.33333333333337608372 .16666666666666666666 .00012896569512509672 1 6 1 7754
Ukraine 1077181999.hashtags   9.21449792038027332153 .47058823529411764705 .05107041526953830281 8 17 396 7754
Kyiv 1077181999.hashtags   39.09579831932773117313 .17647058823529411764 .00451379932937838534 3 17 35 7754
Ukraine 1077181999.hashtags   9.21449792038027332153 .47058823529411764705 .05107041526953830281 8 17 396 7754
Kharkiv 1077181999.hashtags   30.40784313725490202354 .05882352941176470588 .00193448542687645086 1 17 15 7754
Ukraine 1077181999.hashtags   9.21449792038027332153 .47058823529411764705 .05107041526953830281 8 17 396 7754
Kherson 1077181999.hashtags   45.61176470588235303531 .05882352941176470588 .00128965695125096724 1 17 10 7754
Ukraine 1077181999.hashtags   9.21449792038027332153 .47058823529411764705 .05107041526953830281 8 17 396 7754
Mykolaiv 1077181999.hashtags   65.15966386554621919931 .05882352941176470588 .00090275986587567706 1 17 7 7754
Ukraine 1077181999.hashtags   9.21449792038027332153 .47058823529411764705 .05107041526953830281 8 17 396 7754
Mariupol 1077181999.hashtags   24.65500794912559622497 .11764705882352941176 .00477173071962857879 2 17 37 7754
Ukraine 1077181999.hashtags   9.21449792038027332153 .47058823529411764705 .05107041526953830281 8 17 396 7754
Irpin 1077181999.hashtags   456.11764705882354450013 .05882352941176470588 .00012896569512509672 1 17 1 7754
Kyiv 1077181999.hashtags   39.09579831932773117313 .17647058823529411764 .00451379932937838534 3 17 35 7754
Ukraine 1077181999.hashtags   9.21449792038027332153 .47058823529411764705 .05107041526953830281 8 17 396 7754
Mariupol 1077181999.hashtags   24.65500794912559622497 .11764705882352941176 .00477173071962857879 2 17 37 7754
Ukraine 1077181999.hashtags   9.21449792038027332153 .47058823529411764705 .05107041526953830281 8 17 396 7754
Kyiv 1077181999.hashtags   39.09579831932773117313 .17647058823529411764 .00451379932937838534 3 17 35 7754
VotingRightsAct 1080844782.hashtags   221.54285714285714331883 .14285714285714285714 .00064482847562548362 1 7 5 7754
VotingRightsNow 1080844782.hashtags   1107.71428571428575095105 .14285714285714285714 .00012896569512509672 1 7 1 7754
ThursdayThoughts 1080844782.hashtags   1107.71428571428575095105 .14285714285714285714 .00012896569512509672 1 7 1 7754
ThursdayMotivation 1080844782.hashtags   1107.71428571428575095105 .14285714285714285714 .00012896569512509672 1 7 1 7754
SinemaEndsDemocracy 1080844782.hashtags   1107.71428571428575095105 .14285714285714285714 .00012896569512509672 1 7 1 7754
VotingRights 1080844782.hashtags   237.36734693877551148756 .42857142857142857142 .00180551973175135413 3 7 14 7754
OnThisDay 1080844782.hashtags   1107.71428571428575095105 .14285714285714285714 .00012896569512509672 1 7 1 7754
pandemic 1094971056358637568.hashtags   6.88021295474711624397 .04081632653061224489 .00593242197575444931 2 49 46 7754
ZeroCovid 1094971056358637568.hashtags   79.12244897959183704881 .08163265306122448979 .00103172556100077379 4 49 8 7754
COVID19 1094971056358637568.hashtags   6.98139255702280912397 .18367346938775510204 .02630900180551973175 9 49 204 7754
Omicron 1094971056358637568.hashtags   6.16538563477338988025 .06122448979591836734 .00993035852463244776 3 49 77 7754
LongCovid 1094971056358637568.hashtags   1.00154998708344097112 .02040816326530612244 .02037657982976528243 1 49 158 7754
UnsafeSchools 1094971056358637568.hashtags   158.24489795918367864083 .02040816326530612244 .00012896569512509672 1 49 1 7754
Omicron 1094971056358637568.hashtags   6.16538563477338988025 .06122448979591836734 .00993035852463244776 3 49 77 7754
COVID19 1094971056358637568.hashtags   6.98139255702280912397 .18367346938775510204 .02630900180551973175 9 49 204 7754
COVID19 1094971056358637568.hashtags   6.98139255702280912397 .18367346938775510204 .02630900180551973175 9 49 204 7754
ZeroCOVID 1094971056358637568.hashtags   158.24489795918367864083 .02040816326530612244 .00012896569512509672 1 49 1 7754
Covid_19 1094971056358637568.hashtags   52.74829931972789152983 .04081632653061224489 .00077379417075058034 2 49 6 7754
NYTimes 1094971056358637568.hashtags   158.24489795918367379473 .10204081632653061224 .00064482847562548362 5 49 5 7754
ZeroCovid 1094971056358637568.hashtags   79.12244897959183704881 .08163265306122448979 .00103172556100077379 4 49 8 7754
ZeroCovid 1094971056358637568.hashtags   79.12244897959183704881 .08163265306122448979 .00103172556100077379 4 49 8 7754
herdimmunity 1094971056358637568.hashtags   158.24489795918367867960 .04081632653061224489 .00025793139025019344 2 49 2 7754
SARS_CoV_2 1094971056358637568.hashtags   158.24489795918367864083 .02040816326530612244 .00012896569512509672 1 49 1 7754
NYTimes 1094971056358637568.hashtags   158.24489795918367379473 .10204081632653061224 .00064482847562548362 5 49 5 7754
